tile_name, IGNEOUS,METAMORPHIC, MINERAL,SEDIMENTARY
HU3375,16.17,0.5,0,0
HU3376,31.82,1.51,0,0
HU3377,33.33,0,0,0
HU3378,22.62,2.38,0,0
HU3379,7.6,9.06,0,0
HU3380,0.19,6.48,0,0
HU3381,0,4.59,0,0
HU3382,2.85,13.82,0,0
HU3383,32.42,0.92,0,0
HU3384,20,0,0,0
HU3385,14.29,0,0,0
HU3386,20,0,0,0
HU3387,16.67,0,0,0
HU3388,25,0,0,0
HU3389,6.01,1.14,0,0
HU3390,0.15,16.51,0,0
HU3391,0.31,11.06,0,0
HU3392,0.44,1.67,0,0
HU3428,0,0.58,0,0
HU3429,0,2.72,0,0
HU3435,0.08,0,0,0
HU3436,1.75,0,0,0
HU3437,2.65,0,0,0
HU3438,2.33,0,0,0
HU3441,1.87,0,0,0
HU3442,0.29,0,0,0
HU3443,0.31,0,0,0
HU3445,0.42,0.24,0,0
HU3446,1.2,2.14,0,0
HU3447,4.9,5.69,0,0
HU3448,3.73,3.75,0,0
HU3449,7.6,3.23,0,0
HU3450,5.47,0.41,0,0
HU3451,3.79,1.92,0,0
HU3452,18.37,1.63,0,0
HU3453,8.36,5.92,0,0
HU3454,5.71,19.29,0,0
HU3455,11.66,3.39,0,0
HU3456,3.68,0.62,0,0.19
HU3457,0.48,2.98,0,0.59
HU3458,0.03,0.64,0,0
HU3459,0.03,1.36,0,0
HU3460,0.29,1.48,0,0.43
HU3461,1.02,1.61,0,0.63
HU3462,0.77,0.04,0,0
HU3463,0.29,0.5,0,0
HU3464,0.7,2.98,0,0
HU3465,1.22,1.07,0,0
HU3466,2.59,3.12,0,0
HU3467,4.23,2.96,0,0
HU3468,1.49,1.76,0,0
HU3469,4.64,2.03,0,0
HU3470,9.11,8.92,0,0
HU3471,5.96,8.33,0,0
HU3472,1.73,10.77,0,0
HU3473,0.03,16.64,0,0
HU3474,0,14.29,0,0
HU3475,0.48,13.81,0,0
HU3476,1.05,15.61,0,0
HU3477,2.82,11.47,0,0
HU3478,0.23,8.86,0,0
HU3479,0,20,0,0
HU3480,0,12.5,0,0
HU3481,0,9.09,0,0
HU3482,0.36,9.64,0,0
HU3483,8.46,5.83,0,0
HU3484,25,0,0,0
HU3485,20,0,0,0
HU3486,50,0,0,0
HU3487,50,0,0,0
HU3488,50,0,0,0
HU3489,4.74,6.37,0,0
HU3490,0.06,11.06,0,0
HU3491,0.18,4.28,0,0
HU3492,0,0.03,0,0
HU3516,3.47,1.18,0,0
HU3517,7.78,0,0,0
HU3518,0.11,1.27,0,0
HU3519,0,0.36,0,0
HU3520,0,1.82,0,0
HU3521,0,0.58,0,0
HU3526,0,2.7,0,0
HU3527,0,3.26,0,0
HU3528,0,4.64,0,0
HU3529,0,10.57,0,0
HU3530,0.1,2.03,0,0
HU3531,0,1.64,0,0
HU3532,0,0.8,0,0
HU3533,0,0.16,0,0
HU3535,0.05,0,0,0
HU3536,1.36,0,0,0
HU3537,9.89,0,0,0
HU3538,1.57,0,0,0
HU3539,4.3,0,0,0
HU3540,27.86,0,0,0
HU3541,0.4,0,0,0
HU3544,1.58,0,0,0
HU3545,0.74,1.86,0,0
HU3546,0.01,5.63,0,0
HU3547,0.87,6.22,0,0
HU3548,0.4,3.02,0,0
HU3549,0.82,5.53,0,0
HU3550,4.31,3.42,0,0
HU3551,5.48,13.63,0,0
HU3552,0.79,32.55,0,0
HU3553,2.32,10.18,0,0
HU3554,7.87,17.13,0,0
HU3555,2.37,22.63,0,0
HU3556,0,27.03,0,0
HU3557,0,5.96,0,0
HU3558,0,12.53,0,0
